Index,Grade 7,Grade 8,Grade 9,Grade 10,Grade 11,Grade 12
₱20 - ₱30,5,6,8,6,8,6
₱30 - ₱40,3,4,,4,1,2
₱40 - ₱50,2,,2,,1,2
₱50 - ₱60,,,,,,
1,,,,1,1,1
2,6,7,8,6,6,5
3,3,1,,3,1,3
4,1,2,2,,2,1
Paper plate,4,5,6,4,7,5
Paper cone,6,5,4,6,3,5
Milk,5,5,5,6,4,6
Fruit Juice,5,5,5,4,5,4
Mango,4,2,2,4,2,6
Banana,1,3,6,5,3,2
Sweetened Apple,2,2,3,2,1,1
Random fruit,3,2,1,4,5,1
Honey,,3,6,3,4,5
Maple Syrup,9,6,5,7,6,5
Fruit puree,1,1,1,,,
Mini pancake,3,5,1,5,2,5
Normal-sized pancake,7,5,9,5,8,5
For here,4,2,3,1,5,2
To go,6,8,7,9,5,8
Freshly-cooked pancakes,10,10,9,10,10,10
Pre-packed,,,1,,,
